,cert,fed_rssd
0,4829,746223
1,57899,3317192
2,22039,564856
3,16419,419255
4,4122,350657
5,30367,148470
6,57298,3048487
7,32487,941653
8,58485,3594797
9,35456,2920773
10,11706,338945
11,27552,1412619
12,34393,2531562
13,57611,3203996
14,31410,535575
15,1673,526452
16,6646,480723
17,57633,1018927
18,9087,991340
19,57626,3223305
20,22543,170640
21,8426,526519
22,57869,3309393
23,31249,350572
24,9751,340256
25,16910,449430
26,91005,455253
27,35029,2775151
28,32257,762773
29,30332,114774
30,30619,416272
31,19795,198149
32,26549,117672
33,19600,535753
34,4061,266253
35,58727,3614837
36,58562,3535848
37,7506,5210
38,18489,463650
39,90140,343903
40,14311,9553
41,9812,332756
42,28380,101671
43,27015,541307
44,8251,94858
45,8822,293352
46,18152,438050
47,57072,2927615
48,10375,189549
49,34885,965789
50,57264,3118447
51,35267,2909330
52,3304,1006951
53,35314,2877484
54,13947,869953
55,17230,2732
56,17622,388744
57,9831,414102
58,3931,933256
59,13080,585235
60,20093,25357
61,58629,3579589
62,10973,166652
63,197,493741
64,12511,21658
65,34930,2694944
66,11569,176464
67,34566,2619714
68,57733,3276543
69,15657,601658
70,9631,924937
71,1946,35057
72,55130,2140348
73,4051,146056
74,57803,3284070
75,58424,3633173
76,15426,224552
77,23091,260055
78,35377,2889227
79,19590,199436
80,58275,3453737
81,8276,881441
82,27711,777870
83,9465,246956
84,622,661308
85,903,397531
86,14531,353555
87,28701,206174
88,6423,9807
89,22953,83638
90,27267,1169650
91,8893,440857
92,34422,2580243
93,20311,630555
94,1117,275358
95,17906,83834
96,19234,597452
97,35568,2919898
98,31980,718079
99,6183,54441
100,20537,452159
101,34955,2733263
102,22559,971959
103,4624,1002953
104,5283,510648
105,18609,215662
106,15423,568359
107,34606,2684552
108,5216,716655
109,23886,307361
110,5800,345345
111,21567,494654
112,20241,807955
113,34788,2734729
114,57686,3272956
115,35033,2871558
116,35412,2869162
117,29878,1010574
118,57444,3216316
119,57359,3116519
120,58514,3559714
121,16635,310754
122,428,811550
123,10647,1014451
124,2328,826451
125,27471,1394676
126,29140,637170
127,34656,2694681
128,4190,311050
129,57025,2960555
130,8843,61757
131,1439,547251
132,57695,3229642
133,34334,2533043
134,58309,3447576
135,24472,256058
136,26398,481430
137,19300,660655
138,22373,498362
139,33812,2051127
140,6837,958727
141,26499,306159
142,58469,3623110
143,58584,3671997
144,24655,735768
145,58281,3388482
146,29899,12179
147,9104,337247
148,32526,54973
149,9967,262358
150,228,735441
151,26944,276645
152,57144,2957014
153,15444,244251
154,22263,21359
155,13150,596848
156,10120,675341
157,8205,201254
158,2838,139133
159,58303,3470239
160,20504,764030
161,7542,928618
162,15510,508355
163,57295,3015939
164,26658,30052
165,28949,715975
166,22381,424352
167,19220,828651
168,57931,3342671
169,4208,327556
170,11681,655530
171,9923,6329
172,10858,916343
173,18483,410159
174,16410,225054
175,22015,361439
176,17751,132107
177,32018,660879
178,58889,3825080
179,11682,691743
180,3869,261940
181,29679,527178
182,33316,1852569
183,9176,51253
184,35599,3057818
185,6051,368522
186,16068,249612
187,17453,594938
188,34193,2467670
189,58296,3446636
190,33450,1872941
191,3598,659734
192,28507,120476
193,57620,3187612
194,3858,705444
195,1391,270353
196,4666,983457
197,28812,168571
198,2315,470452
199,29471,269571
200,29743,351878
201,1198,570558
202,15085,591320
203,17123,73116
204,28780,390372
205,8728,311845
206,1436,336950
207,11343,821643
208,34759,2785477
209,33013,1462986
210,3934,668053
211,5296,917742
212,17636,1003455
213,24064,851060
214,90146,408307
215,9096,739346
216,35525,3555695
217,24829,959715
218,26390,527507
219,284,811541
220,28288,229173
221,11477,979151
222,35,749635
223,5814,760649
224,3276,548351
225,58082,3347911
226,58484,3463875
227,35115,2860459
228,11771,859141
229,2326,262059
230,57510,3214059
231,90215,619701
232,31390,408875
233,35546,2917317
234,19434,5461
235,21265,725732
236,2469,846945
237,2987,69678
238,26704,696168
239,6959,505
240,35498,200378
241,4033,251352
242,27476,1386251
243,26725,110936
244,34968,940311
245,20828,816210
246,11813,606046
247,26653,78157
248,57815,3402913
249,18408,419406
250,14291,952846
251,1047,496845
252,13816,142049
253,11521,64552
254,8560,634544
255,29087,955977
256,4147,18854
257,5304,594947
258,8941,812557
259,33686,790105
260,16604,539032
261,14521,187947
262,19842,101019
263,5170,45551
264,16601,645157
265,11782,213538
266,13290,452104
267,155,986935
268,26689,564052
269,25178,1443266
270,3510,480228
271,8243,31835
272,34120,2390929
273,33681,909000
274,23123,225559
275,16282,311144
276,18930,302030
277,58114,3374403
278,8595,348159
279,15817,659640
280,16959,572347
281,59074,4536084
282,32722,1421161
283,10883,695947
284,34397,2535560
285,6137,759625
286,57952,3308529
287,57102,3042234
288,5605,351131
289,2224,17950
290,9385,236256
291,35439,2877831
292,2733,825940
293,20239,904845
294,8254,833646
295,12549,960047
296,17190,124830
297,12325,458946
298,9406,92902
299,105,629148
300,58479,3588312
301,9023,1014125
302,2327,815754
303,10885,318639
304,33653,908508
305,6123,753324
306,16953,76153
307,13167,720344
308,26955,144034
309,16980,255659
310,8775,839246
311,26217,862057
312,13274,152057
313,9359,99442
314,22639,547550
315,19829,944551
316,422,322850
317,57491,3134698
318,10523,476539
319,4796,431350
320,9875,464853
321,8531,926959
322,1937,765354
323,1468,324854
324,4075,271752
325,17543,441630
326,876,193537
327,2477,588245
328,99,455945
329,17569,823553
330,26542,638355
331,17327,638131
332,14912,920359
333,19515,545154
334,9068,546535
335,15813,1015832
336,16243,14865
337,877,204237
338,26554,956376
339,296,903240
340,16154,485054
341,13303,244149
342,8532,399731
343,19351,550354
344,4094,343051
345,49,560438
346,11732,976534
347,58630,3620539
348,1484,166531
349,10594,68831
350,35543,2913702
351,58626,3636446
352,22838,932633
353,2379,141958
354,16527,993353
355,57915,3286999
356,9392,1351
357,5636,400945
358,17995,857259
359,15113,465524
360,20884,711472
361,8144,603232
362,10315,145059
363,9127,854351
364,10057,37
365,13962,7456
366,18053,795968
367,17769,746755
368,17813,856458
369,149,628039
370,16276,659341
371,289,763211
372,1464,941804
373,26610,671464
374,3178,583754
375,10674,291059
376,8584,790150
377,26403,300960
378,33648,727709
379,23826,898458
380,8118,567240
381,11750,487142
382,9775,780049
383,1635,796451
384,1874,246657
385,8695,477349
386,15547,476445
387,4130,85454
388,5425,13457
389,58164,3410141
390,57396,3128923
391,19087,111157
392,91280,1397471
393,16795,14650
394,8885,663450
395,17878,271136
396,16281,959630
397,13264,580548
398,148,752831
399,9332,989851
400,32779,1436204
401,12327,601443
402,9315,782016
403,13611,175458
404,618,175609
405,11232,426945
406,19954,708753
407,22273,706236
408,58482,3470097
409,20769,713047
410,2145,805335
411,12232,937553
412,8556,897330
413,9057,586335
414,13017,352820
415,10626,879550
416,27575,1404940
417,24540,113601
418,18012,265407
419,58175,3443345
420,14701,688556
421,5704,948531
422,5447,41955
423,18171,410748
424,21529,687054
425,35365,2903123
426,5867,147923
427,9803,819453
428,5902,919344
429,21085,37341
430,16905,661157
431,13710,182353
432,21284,581237
433,1713,284239
434,16982,930442
435,12745,858452
436,14660,997847
437,17671,673851
438,101,967943
439,8432,99536
440,11711,37949
441,12956,767611
442,15673,433550
443,14349,426758
444,11243,931047
445,58069,3357385
446,57816,3302312
447,26727,49858
448,57044,3076453
449,19506,248240
450,12236,456250
451,22739,364430
452,34148,2396604
453,1536,479268
454,16413,593940
455,8892,436953
456,13565,124344
457,11788,910239
458,21573,340135
459,35320,2823221
460,18576,925653
461,21161,1006513
462,26539,718275
463,4791,552059
464,35207,2787770
465,27496,1404481
466,21219,422116
467,20387,777366
468,23041,307679
469,22340,192857
470,4626,1007659
471,2205,475756
472,22597,662369
473,19125,83236
474,2247,499752
475,25291,478195
476,26627,859552
477,3514,804963
478,16389,589523
479,19480,831352
480,17159,933975
481,13397,254317
482,420,286251
483,57640,3254297
484,12627,565750
485,4087,175056
486,1418,393355
487,24211,209362
488,8250,179335
489,9323,625953
490,12207,800442
491,15136,894348
492,16201,729842
493,5699,176437
494,11715,371849
495,11431,118736
496,15104,922924
497,862,359838
498,306,860334
499,13654,903455
500,110,107244
501,16547,329149
502,34147,2434113
503,21897,1006559
504,15205,502652
505,57074,3010363
506,22434,436739
507,8537,748254
508,953,811046
509,23537,408642
510,27351,1218446
511,23210,732758
512,28808,454676
513,20130,117458
514,8870,914648
515,58537,3629484
516,26536,331375
517,17282,737548
518,30817,379171
519,18129,546003
520,8387,721350
521,11739,855741
522,30692,364270
523,5903,121642
524,77,194936
525,16418,88231
526,496,109453
527,29177,831576
528,58979,3938186
529,35406,2849285
530,57368,3109043
531,16704,791353
532,10502,989758
533,4009,540551
534,28489,352772
535,10374,453147
536,19274,275255
537,17514,502849
538,11971,522605
539,30878,106676
540,12788,24949
541,57203,2980209
542,34395,2508751
543,22205,1007734
544,17621,188739
545,17749,433505
546,8035,308340
547,16330,986757
548,34052,2329200
549,15585,961446
550,90311,963002
551,1092,242958
552,90196,771609
553,32527,242976
554,35541,2954059
555,20215,829032
