,fed_rssd,inst.webaddr,cbsa_metro,mutual,cert,docket,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,county,cbsa_metro_name,estymd,offdom,offfor,stmult,specgrp,subchaps,insdate,effdate,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb
0,746223,www.1880bank.com,,Stock,4829,0,2706726,1880 Bank,Cambridge,MD,21613,3/31/2019,5/19/2019,SM,304 High Street,"DELMARVA BANCSHARES, INC.",Dorchester,,1/1/1880,6,0,0,4,0,1/1/1934,7/16/2015,0,1,FED,DIF,New York,NEW YORK,Baltimore,Richmond,Northeastern,Southeast,0,1
1,3317192,www.1stadvantagebank.com,41180.0,Stock,57899,0,4526496,1st Advantage Bank,Saint Peters,MO,63376,3/31/2019,5/19/2019,NM,240 Salt Lick Road,"BANC INVESTORS, LLC",Saint Charles,"St. Louis, MO-IL",1/31/2005,1,0,0,4,0,1/31/2005,9/10/2010,0,0,FDIC,DIF,Kansas City,KANSAS CITY,St. Louis,St. louis,Western,West,0,1
2,564856,www.our1stbank.com,,Stock,22039,0,1128415,1st Bank,Broadus,MT,59317,3/31/2019,5/19/2019,SM,201 North Wilbur Ave,"1ST UNITED BANCORPORATION, INC.",Powder River,,6/9/1975,1,0,0,2,1,6/9/1975,2/23/2018,0,0,FED,DIF,San Francisco,SAN FRANCISCO,Billings,Minneapolis,Western,West,0,1
3,419255,http://www/1stbankandtrust.com,,Stock,16419,17301,1055780,1st Bank & Trust,Broken Bow,OK,74728,3/31/2019,5/19/2019,SM,710 South Park Drive,"SOUTHEASTERN BANCSHARES, INC.",Mccurtain,,5/6/1946,4,0,0,8,1,5/6/1946,3/31/2006,0,1,FED,DIF,Dallas,DALLAS,Tulsa,Kansas City,Southern,West,0,1
4,350657,http://www.1stbankhominy.com,46140.0,Stock,4122,0,0,1st Bank in Hominy,Hominy,OK,74035,3/31/2019,5/19/2019,SM,117 North Price,,Osage,"Tulsa, OK",4/12/1906,1,0,0,8,1,1/1/1934,12/22/2016,0,0,FED,DIF,Dallas,DALLAS,Tulsa,Kansas City,Southern,West,0,1
5,148470,www.1stbankseaisle.com,36140.0,Stock,30367,5236,0,1st Bank of Sea Isle City,Sea Isle City,NJ,8243,3/31/2019,5/19/2019,SB,4301 Landis Avenue,,Cape May,"Ocean City, NJ",1/1/1882,3,0,0,5,0,11/30/1948,9/19/2014,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,Philadelphia,Northeastern,Northeast,0,1
6,3048487,http://www.1stbankyuma.com,49740.0,Stock,57298,0,3559844,1st Bank Yuma,Yuma,AZ,85364,3/31/2019,5/19/2019,NM,2799 South 4th Avenue,"WESTERN ARIZONA BANCORP, INC.",Yuma,"Yuma, AZ",9/4/2001,5,0,0,4,0,9/4/2001,3/2/2018,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,Phoenix,San Francisco,Western,Western,0,1
7,941653,www.1stcameron.com,28140.0,Stock,32487,8322,1064791,1st Cameron State Bank,Cameron,MO,64429,3/31/2019,5/19/2019,NM,124 South Walnut,"C & M BANCSHARES, INC.",Clinton,"Kansas City, MO-KS",8/11/1986,2,0,0,8,0,8/11/1986,6/29/2009,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,West,0,1
8,3594797,www.1stcapital.bank,41500.0,Stock,58485,0,0,1st Capital Bank,Salinas,CA,93901,3/31/2019,5/19/2019,NM,"150 Main St, # 150, Salinas,",,Monterey,"Salinas, CA",4/16/2007,6,0,0,4,0,4/16/2007,5/1/2017,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,San Francisco,San Francisco,Western,Western,0,1
9,2920773,http://www.1stcolonial.com,37980.0,Stock,35456,0,3118513,1st Colonial Community Bank,Collingswood,NJ,8108,3/31/2019,5/19/2019,NM,1040 Haddon Avenue,"1ST COLONIAL BANCORP, INC.",Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6/29/2000,3,0,0,4,0,6/29/2000,11/1/2012,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,Philadelphia,Northeastern,Northeast,0,1
10,338945,http://www.1stcommunitybanks.com,19340.0,Stock,11706,12404,1204083,1st Community Bank,Sherrard,IL,61281,3/31/2019,5/19/2019,NM,407 Third Street,ILLINOIS HOLDING CO.,Mercer,"Davenport-Moline-Rock Island, IA-IL",1/1/1910,2,0,0,2,1,1/1/1934,10/15/2015,0,0,FDIC,DIF,Chicago,CHICAGO,Springfield Il,Chicago,Central,Central,0,1
11,1412619,www.1stconstitution.com,35620.0,Stock,27552,10064,2784920,1st Constitution Bank,Cranbury,NJ,8512,3/31/2019,5/19/2019,NM,2650 Route 130,1ST CONSTITUTION BANCORP,Middlesex,"New York-Newark-Jersey City, NY-NJ-PA",7/24/1989,21,0,0,4,0,7/24/1989,4/11/2018,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1
12,2531562,www.1stequitybank.net,16980.0,Stock,34393,0,2531553,1st Equity Bank,Skokie,IL,60076,3/31/2019,5/19/2019,NM,3956 West Dempster Street,FIRST EQUITY CORP.,Cook,"Chicago-Naperville-Elgin, IL-IN-WI",6/9/1997,1,0,0,4,1,6/9/1997,3/31/2006,0,0,FDIC,DIF,Chicago,CHICAGO,Chicago,Chicago,Central,Central,0,1
13,3203996,,16980.0,Stock,57611,0,3203987,1st Equity Bank Northwest,Buffalo Grove,IL,60089,3/31/2019,5/19/2019,NM,1330 Dundee Road,NORTHWEST EQUITY CORP.,Cook,"Chicago-Naperville-Elgin, IL-IN-WI",10/15/2003,1,0,0,4,1,10/15/2003,3/31/2006,0,0,FDIC,DIF,Chicago,CHICAGO,Chicago,Chicago,Central,Central,0,1
14,535575,www.1stfederalofsc.com,,Stock,31410,6903,0,"1st Federal Savings Bank of SC, Inc.",Walterboro,SC,29488,3/31/2019,5/19/2019,SB,300 Robertson Boulevard,,Colleton,,1/1/1962,2,0,0,5,0,8/9/1963,4/30/2018,0,0,FDIC,DIF,Atlanta,ATLANTA,Columbia Sc,Richmond,Northeastern,Southeast,0,1
15,526452,http://www.1fbusa.com,43580.0,Stock,1673,0,0,1st Financial Bank USA,Dakota Dunes,SD,57049,3/31/2019,5/19/2019,NM,331 N. Dakota Dunes Blvd.,,Union,"Sioux City, IA-NE-SD",1/1/1910,2,0,0,3,0,1/1/1934,3/31/2006,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Sioux Falls,Minneapolis,Western,West,0,0
16,480723,WWW.BANKWITH1ST.COM,17140.0,Stock,6646,8805,0,1st National Bank,Lebanon,OH,45036,3/31/2019,5/19/2019,N,730 East Main Street,,Warren,"Cincinnati, OH-KY-IN",1/1/1907,10,0,0,4,1,1/1/1934,11/1/2012,0,0,OCC,DIF,Chicago,CHICAGO,Cincinnati,Cleveland,Central,Central,0,1
17,1018927,WWW.FSBWA.com,42660.0,Stock,57633,0,4347208,1st Security Bank of Washington,Mountlake Terrac,WA,98043,3/31/2019,5/19/2019,SB,"6920 220th St Sw, Suite 300","FS BANCORP, INC.",Snohomish,"Seattle-Tacoma-Bellevue, WA",4/1/2004,23,0,0,4,0,4/1/2004,11/15/2018,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,Seattle,San Francisco,Western,West,0,1
18,991340,www.1stsource.com,43780.0,Stock,9087,10250,1199602,1st Source Bank,South Bend,IN,46601,3/31/2019,5/19/2019,SM,100 North Michigan Street,1ST SOURCE CORPORATION,St Joseph,"South Bend-Mishawaka, IN-MI",1/1/1922,83,0,1,4,0,1/1/1934,1/1/2012,0,1,FED,DIF,Chicago,CHICAGO,Indianapolis,Chicago,Central,Central,0,1
19,3223305,www.1ststatebk.com,40980.0,Stock,57626,0,3223293,1st State Bank,Saginaw,MI,48604,3/31/2019,5/19/2019,NM,"4800 Fashion Sq Blvd, # 100","1ST STATE FINANCIAL, LTD.",Saginaw,"Saginaw, MI",4/12/2004,5,0,0,4,0,4/12/2004,8/19/2013,0,0,FDIC,DIF,Chicago,CHICAGO,Detroit,Chicago,Central,Central,0,1
20,170640,www.1ststatebankmc.com,,Stock,22543,14261,3070152,1st State Bank of Mason City,Mason City,IL,62664,3/31/2019,5/19/2019,NM,123 West Elm Street,"FIRSTATE BANCORP, INC.",Mason,,11/1/1977,1,0,0,7,1,11/1/1977,3/31/2006,0,0,FDIC,DIF,Chicago,CHICAGO,Springfield Il,Chicago,Central,Central,0,1
21,526519,http://www.1stsummit.com,27780.0,Stock,8426,10595,1830240,1st Summit Bank,Johnstown,PA,15904,3/31/2019,5/19/2019,NM,125 Donald Lane,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",Cambria,"Johnstown, PA",1/1/1924,16,0,0,5,0,1/1/1934,1/5/2016,0,1,FDIC,DIF,New York,NEW YORK,Wexford,Philadelphia,Northeastern,Northeast,0,1
22,3309393,https://www.1tbi.com,,Stock,57869,0,0,"1st Trust Bank, Inc.",Hazard,KY,41701,3/31/2019,5/19/2019,NM,44 Commerce Drive,,Perry,,12/13/2004,4,0,0,4,0,12/13/2004,10/16/2018,0,0,FDIC,DIF,Chicago,CHICAGO,Lexington,Cleveland,Central,Southeast,0,1
23,350572,WWW.1stunited.com,,Stock,31249,6607,4498726,1st United Bank,Faribault,MN,55021,3/31/2019,5/19/2019,NM,430 4th St Nw,"J & B FINANCIAL HOLDINGS, INC.",Rice,,1/1/1920,2,0,0,4,1,12/18/1961,2/13/2012,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Minneapolis,Minneapolis,Central,West,0,1
24,340256,http://www.21stcenturybank.com,33460.0,Stock,9751,0,3304343,21st Century Bank,Loretto,MN,55357,3/31/2019,5/19/2019,NM,699 North Medina Street,DOLPHIN FAMILY LIMITED PARTNERSHIP,Hennepin,"Minneapolis-St. Paul-Bloomington, MN-WI",6/2/1917,7,0,0,4,0,1/1/1934,3/31/2006,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Minneapolis,Minneapolis,Central,West,0,1
25,449430,www.22ndstatebank.com,,Stock,16910,0,3438051,22nd State Bank,Louisville,AL,36048,3/31/2019,5/19/2019,NM,1920 Main Street,"FEB BANCSHARES, INC.",Barbour,,1/1/1917,4,0,0,4,1,5/29/1950,10/1/2018,0,0,FDIC,DIF,Atlanta,ATLANTA,Montgomery,Atlanta,Southern,Southeast,0,1
26,455253,http://www.5star.bank,17820.0,Stock,91005,0,4754758,5Star Bank,Colorado Springs,CO,80914,3/31/2019,5/19/2019,NM,"Peterson Air Force Base, 455",LITTLE LONDON BANCORP,El Paso,"Colorado Springs, CO",6/10/1980,5,0,0,4,0,11/5/1985,8/23/2013,0,0,FDIC,DIF,Dallas,DALLAS,Denver,Kansas City,Western,Western,0,1
27,2775151,www.abtgold.com,10500.0,Stock,35029,0,2775142,AB&T,Albany,GA,31708,3/31/2019,5/19/2019,NM,2815 Meredyth Drive,"COMMUNITY CAPITAL BANCSHARES, INC.",Dougherty,"Albany, GA",4/28/1999,4,0,0,4,0,4/28/1999,12/31/2016,0,0,FDIC,DIF,Atlanta,ATLANTA,Albany Ga,Atlanta,Southern,Southeast,0,1
28,762773,www.abacusbank.com,35620.0,Stock,32257,8059,0,Abacus Federal Savings Bank,New York,NY,10013,3/31/2019,5/19/2019,SA,6 Bowery,,New York,"New York-Newark-Jersey City, NY-NJ-PA",11/29/1984,6,0,1,5,0,11/29/1984,2/23/2012,0,0,OCC,DIF,New York,NEW YORK,New York City,New York,Northeastern,Northeast,0,1
29,114774,www.abbemae.com,29180.0,Non-Stock,30332,5179,0,Abbeville Building & Loan (A State-Chartered Savings Bank),Abbeville,LA,70510,3/31/2019,5/19/2019,SB,1212 Charity Street,,Vermilion,"Lafayette, LA",1/1/1890,1,0,0,4,0,8/9/1948,3/31/2006,0,0,FDIC,DIF,Dallas,DALLAS,Baton Rouge,Atlanta,Southern,Western,0,1
30,416272,http://www.abbevillefirst.com,,Non-Stock,30619,5642,0,"Abbeville First Bank, SSB",Abbeville,SC,29620,3/31/2019,5/19/2019,SB,205 South Main St,,Abbeville,,1/1/1907,2,0,0,8,0,5/11/1953,10/17/2013,0,0,FDIC,DIF,Atlanta,ATLANTA,Columbia Sc,Richmond,Northeastern,Southeast,0,1
31,198149,www.abbybank.com,48140.0,Stock,19795,16035,3612794,AbbyBank,Abbotsford,WI,54405,3/31/2019,5/19/2019,NM,401 East Spruce Street,"ABBY BANCORP, INC.",Marathon,"Wausau, WI",3/1/1968,6,0,0,2,0,3/1/1968,1/1/2018,0,0,FDIC,DIF,Chicago,CHICAGO,Eau Claire,Chicago,Central,Central,0,1
32,117672,www.theabingtonbank.com,14460.0,Non-Stock,26549,0,0,Abington Bank,Abington,MA,2351,3/31/2019,5/19/2019,SM,6 Harrison Avenue,,Plymouth,"Boston-Cambridge-Newton, MA-NH",1/1/1888,3,0,0,4,0,2/12/1986,10/1/2017,0,0,FED,DIF,New York,NEW YORK,South Boston,Boston,Northeastern,Northeast,0,1
33,535753,www.academybank.com,28140.0,Stock,19600,0,2107707,"Academy Bank, National Association",Kansas City,MO,64154,3/31/2019,5/19/2019,N,8551 N Boardwalk Avenue,DICKINSON FINANCIAL CORPORATION II,Platte,"Kansas City, MO-KS",6/15/1966,73,0,1,4,0,6/15/1966,5/1/2017,0,0,OCC,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,West,0,0
34,266253,www.acbbank.net,,Stock,4061,13760,1055708,ACB Bank,Cherokee,OK,73728,3/31/2019,5/19/2019,NM,323 S Grand Street,"ALFALFA COUNTY BANCSHARES, INC.",Alfalfa,,1/29/1908,3,0,0,2,1,1/1/1934,5/13/2015,0,0,FDIC,DIF,Dallas,DALLAS,Oklahoma City,Kansas City,Southern,West,0,1
